Date,AAPL,JNJ,JPM,WMT,XOM
2019-01-02,37.503719329833984,104.38790130615234,81.25019836425781,27.9670467376709,50.00183868408203
2019-01-03,33.76808547973633,102.7291259765625,80.09549713134766,27.82322883605957,49.234130859375
2019-01-04,35.20960235595703,104.4532699584961,83.04824829101562,27.99701499938965,51.049373626708984
2019-01-07,35.1312370300293,103.78321838378906,83.10598754882812,28.32659912109375,51.314849853515625
2019-01-08,35.80096435546875,106.19374084472656,82.94926452636719,28.524354934692383,51.68793487548828
2019-01-09,36.40891647338867,105.35210418701172,82.80906677246094,28.43147087097168,51.96057891845703
2019-01-10,36.525291442871094,105.98945617675781,82.8008041381836,28.45244598388672,51.69511032104492
2019-01-11,36.166690826416016,106.02212524414062,82.40491485595703,28.41649055480957,51.45834732055664
2019-01-14,35.62284469604492,104.82096099853516,83.25444793701172,28.449443817138672,51.393768310546875
2019-01-15,36.35192108154297,105.70347595214844,83.86477661132812,28.838953018188477,51.42246627807617
2019-01-16,36.796016693115234,104.62483978271484,84.54112243652344,28.868921279907227,51.40095138549805
2019-01-17,37.01451110839844,105.48284149169922,84.88753509521484,28.98578643798828,51.75251388549805
2019-01-18,37.24249267578125,106.79024505615234,86.26493835449219,29.282405853271484,52.36955261230469
2019-01-22,36.40654373168945,105.24588012695312,84.90402221679688,29.210494995117188,51.58030700683594
2019-01-23,36.55378723144531,105.24588012695312,84.68958282470703,29.576034545898438,51.15700149536133
2019-01-24,36.26404571533203,103.79955291748047,84.73905944824219,29.471172332763672,51.228759765625
2019-01-25,37.465728759765625,104.78009796142578,85.27519226074219,29.04569435119629,51.45834732055664
2019-01-28,37.1190071105957,105.40113067626953,85.6793212890625,29.0816593170166,51.113948822021484
2019-01-29,36.734275817871094,106.49607849121094,85.91851806640625,28.976781845092773,51.30766677856445
2019-01-30,39.244503021240234,107.5665054321289,86.11648559570312,28.40450096130371,51.8673210144043
2019-01-31,39.527099609375,108.7431869506836,85.36591339111328,28.713119506835938,52.5776252746582
2019-02-01,39.54609680175781,109.65837097167969,85.6793212890625,28.122854232788086,54.4717903137207
2019-02-04,40.669410705566406,108.57976531982422,85.98450469970703,28.395511627197266,53.68254470825195
2019-02-05,41.365238189697266,108.57976531982422,85.60509490966797,28.64420509338379,54.235023498535156
2019-02-06,41.37950134277344,108.67780303955078,85.56385803222656,28.656187057495117,53.99825668334961
2019-02-07,40.59579849243164,107.90153503417969,84.4421615600586,28.98277473449707,53.58211898803711
2019-02-08,40.64349365234375,108.18751525878906,83.60086822509766,28.638208389282227,53.66916275024414
2019-02-11,40.409751892089844,107.86067962646484,83.2049560546875,28.823976516723633,53.75623321533203
2019-02-12,40.757965087890625,109.62569427490234,84.62360382080078,29.0546875,54.69930648803711
2019-02-13,40.5886344909668,109.86261749267578,85.0277328491211,29.345325469970703,55.31595230102539
2019-02-14,40.73649978637695,109.74824523925781,84.47513580322266,29.51910972595215,55.33045959472656
2019-02-15,40.64588165283203,111.43971252441406,87.05672454833984,29.959558486938477,56.3751220703125
2019-02-19,40.76750946044922,110.87586975097656,86.7515640258789,30.621734619140625,56.75236129760742
2019-02-20,41.02985763549805,111.41519165039062,87.17221069335938,29.926599502563477,56.969966888427734
2019-02-21,40.79851531982422,110.65525817871094,86.99076080322266,29.779781341552734,56.45491409301758
2019-02-22,41.25405502319336,111.61946868896484,86.60310363769531,29.827728271484375,56.890193939208984
2019-02-25,41.55458450317383,112.03072357177734,87.51036834716797,29.69888687133789,56.94822311401367
2019-02-26,41.578433990478516,111.95670318603516,86.84230041503906,29.570045471191406,57.06429672241211
2019-02-27,41.70722579956055,111.75928497314453,86.73506927490234,29.39626693725586,57.651912689208984
2019-02-28,41.2969856262207,112.39266204833984,86.07522583007812,29.659934997558594,57.33271026611328
2019-03-01,41.73106384277344,113.79922485351562,86.13298034667969,29.342334747314453,58.036407470703125
2019-03-04,41.940948486328125,113.9061279296875,85.93502044677734,29.3183650970459,58.26129913330078
2019-03-05,41.864627838134766,114.1446762084961,85.86903381347656,29.46516990661621,58.17424011230469
2019-03-06,41.62374496459961,114.40786743164062,85.54739379882812,29.441205978393555,57.51408004760742
2019-03-07,41.141963958740234,113.70873260498047,84.92878723144531,29.198503494262695,58.152488708496094
2019-03-08,41.23974609375,113.56067657470703,84.96175384521484,29.240455627441406,57.31820297241211
2019-03-11,42.66838073730469,113.97190856933594,86.06698608398438,29.507125854492188,57.87681198120117
2019-03-12,43.14778137207031,114.48188781738281,85.81131744384766,29.47417449951172,58.036407470703125
2019-03-13,43.338584899902344,114.67109680175781,86.09996795654297,29.671913146972656,58.55146408081055
2019-03-14,43.82036209106445,113.52775573730469,86.8835220336914,29.58757781982422,58.35560989379883
2019-03-15,44.39038848876953,113.18232727050781,87.88153839111328,29.64781951904297,58.145225524902344
2019-03-18,44.84354782104492,112.82859802246094,88.4094009399414,30.021352767944336,58.81989288330078
2019-03-19,44.48817443847656,113.87321472167969,88.08771514892578,30.078588485717773,58.667537689208984
2019-03-20,44.876956939697266,112.92728424072266,86.20716857910156,29.71409034729004,58.994014739990234
2019-03-21,46.52975845336914,113.59356689453125,84.84629821777344,29.840614318847656,59.33497619628906
2019-03-22,45.56621170043945,112.61473846435547,82.28118133544922,29.605640411376953,58.38463592529297
2019-03-25,45.0152702331543,112.36798095703125,81.59661102294922,29.572507858276367,57.97837829589844
2019-03-26,44.5501823425293,113.98019409179688,82.41314697265625,29.617694854736328,58.73284149169922
2019-03-27,44.950870513916016,114.08712005615234,82.13272094726562,29.283323287963867,58.28306579589844
2019-03-28,45.010494232177734,114.23514556884766,83.06475067138672,29.25922203063965,58.57324981689453
2019-03-29,45.303871154785156,114.98367309570312,83.49365234375,29.379716873168945,58.61677932739258
2019-04-01,45.61152267456055,114.31739044189453,86.30616760253906,29.467079162597656,59.291446685791016
2019-04-02,46.274574279785156,113.27279663085938,86.71857452392578,29.201980590820312,59.03752136230469
2019-04-03,46.59178924560547,112.82859802246094,86.89176940917969,29.277292251586914,58.689308166503906
2019-04-04,46.672882080078125,111.51255798339844,87.73119354248047,29.5544376373291,59.52358627319336
2019-04-05,46.98531723022461,112.01428985595703,87.52342987060547,29.771326065063477,59.84279251098633
2019-04-08,47.72467041015625,111.98136901855469,87.80598449707031,29.891820907592773,60.2127685546875
2019-04-09,47.58157730102539,111.51255798339844,87.15776062011719,29.72915267944336,59.43654251098633
2019-04-10,47.84869384765625,111.5207748413086,87.54837036132812,30.003280639648438,59.16813278198242
2019-04-11,47.45039367675781,111.21643829345703,88.28804016113281,30.364763259887695,59.4510383605957
2019-04-12,47.43131637573242,111.84977722167969,92.42691802978516,30.593704223632812,58.703834533691406
