Method,VaR_decimal,VaR_percent,Confidence,Horizon
Historical,-0.016531773744858817,1.6531773744858818,95%,1 day
Parametric,-0.018651754318641106,1.8651754318641105,95%,1 day
Monte Carlo,-0.01863386419512606,1.8633864195126062,95%,1 day
