Date,Portfolio
2019-01-03,-0.030041037587947843
2019-01-04,0.027890640222459684
2019-01-07,0.00180544436512918
2019-01-08,0.0109312125963539
2019-01-09,0.0018768605526121999
2019-01-10,0.0009549976982442796
2019-01-11,-0.0040269116024353796
2019-01-14,-0.00323053091198798
2019-01-15,0.01009327092731356
2019-01-16,0.0021395379065051604
2019-01-17,0.005824808374303381
2019-01-18,0.01138721483782072
2019-01-22,-0.014042048881668141
2019-01-23,0.00116520170826916
2019-01-24,-0.004645480410123541
2019-01-25,0.007790990795349562
2019-01-28,-0.0008085568533010797
2019-01-29,0.00059979275722528
2019-01-30,0.014369674462299038
2019-01-31,0.0067968035822363005
2019-02-01,0.00560734024373126
2019-02-04,0.0034674408370401
2019-02-05,0.006349321583771141
2019-02-06,-0.0006362515882705
2019-02-07,-0.0071002890553677
2019-02-08,-0.0032803719757102203
2019-02-11,-0.0010797399186697602
2019-02-12,0.013515716922442881
2019-02-13,0.00481175571936146
2019-02-14,0.00045745150421358006
2019-02-15,0.015509863307252979
2019-02-19,0.00464427441594734
2019-02-20,-0.0005436243754189796
2019-02-21,-0.00569747088175234
2019-02-22,0.0049486413352597
2019-02-25,0.003629181841391861
2019-02-26,-0.0020041934578744797
2019-02-27,0.0009040062383243801
2019-02-28,-0.0016687417572331
2019-03-01,0.005052539896425541
2019-03-04,0.0013457334185615801
2019-03-05,0.0006039297523679799
2019-03-06,-0.0038710127262164004
2019-03-07,-0.0044120626240722206
2019-03-08,-0.0022893846133486603
2019-03-11,0.01402753528502608
2019-03-12,0.00287606124474818
2019-03-13,0.005004442090827
2019-03-14,0.0008118475018734601
2019-03-15,0.0039766482508336596
2019-03-18,0.007458375137749681
2019-03-19,-0.0005977180002071998
2019-03-20,-0.005493952059328601
2019-03-21,0.00739626454970146
2019-03-22,-0.01668969164124164
2019-03-25,-0.006135897989266
2019-03-26,0.00571273351947434
2019-03-27,-0.00248361408931894
2019-03-28,0.00362551666551478
2019-03-29,0.0046190582521827
2019-04-01,0.00983299887766522
2019-04-02,-0.0006202818010000002
2019-04-03,0.00032231914779019995
2019-04-04,0.00468367796118408
2019-04-05,0.004305317211535081
2019-04-08,0.005780015808746321
2019-04-09,-0.0065801108708933
2019-04-10,0.0029748266741049523
2019-04-11,0.0028450118082603408
2019-04-12,0.009428633138706139
2019-04-15,-8.181045095508011e-05
2019-04-16,0.0066680351223156
2019-04-17,0.011393146435612558
2019-04-18,-0.0028928843340072
2019-04-22,0.0041481335353785
2019-04-23,0.00866044223964574
2019-04-24,-0.00463651764266792
2019-04-25,4.3202304451648134e-05
2019-04-26,-0.00643394876375436
2019-04-29,0.0011697545905729797
2019-04-30,0.00126919900774586
2019-05-01,0.00245646830742756
2019-05-02,-0.00573404476353424
2019-05-03,0.007054672108675301
2019-05-06,-0.0048830269016473995
2019-05-07,-0.01497002040880864
2019-05-08,-0.0029392387383607205
2019-05-09,-0.00446847129251024
2019-05-10,0.004173953255451109
2019-05-13,-0.02590905359219372
2019-05-14,0.00526683652342672
2019-05-15,0.0024257255322946403
2019-05-16,0.00642236573560494
2019-05-17,-0.0035948312702916803
2019-05-20,-0.00419841995138866
2019-05-21,0.004217522148773901
2019-05-22,-0.004410992690240861
2019-05-23,-0.01127249770519058
2019-05-24,0.003646654889104582
2019-05-28,-0.0100687482436986
2019-05-29,-0.01170735217606698
2019-05-30,-0.00030811715099222003
2019-05-31,-0.0119339843223605
2019-06-03,0.00352607529387868
2019-06-04,0.022898023193166223
2019-06-05,0.0068809460541608995
2019-06-06,0.01176173731608598
2019-06-07,0.008401425264379182
2019-06-10,0.009034224592655
2019-06-11,0.004620048714616281
2019-06-12,-0.0009998126796510799
2019-06-13,0.0005272909114866398
2019-06-14,-0.00193314471677592
2019-06-17,0.0013281581631900397
2019-06-18,0.011194237354881441
2019-06-19,-0.00287975796991204
2019-06-20,0.00932546139505656
2019-06-21,0.0020760807702170595
2019-06-24,-0.00196840059745168
2019-06-25,-0.005740689365917341
2019-06-26,0.00220206231248686
2019-06-27,-0.00317749583910676
2019-06-28,0.0044574927827726206
2019-07-01,0.0071988232043660805
2019-07-02,0.0019210646646749393
2019-07-03,0.007544492940766441
2019-07-05,-0.0026140277636214804
2019-07-08,-0.0024051754984882002
2019-07-09,0.0028479544879421803
2019-07-10,0.004115782139466
2019-07-11,0.0007155719817063793
2019-07-12,-0.003304963524403861
2019-07-15,-0.00069262268135496
2019-07-16,-0.00519757933874146
2019-07-17,-0.00551792020347054
2019-07-18,0.002297184973240181
2019-07-19,-0.008650533819186741
2019-07-22,0.0016106918091135806
2019-07-23,0.005037589118519621
2019-07-24,0.0019170817638555198
2019-07-25,-0.00218196528174244
2019-07-26,0.00208760186427416
2019-07-29,0.00482407978875484
2019-07-30,-0.00306823003457426
2019-07-31,-0.0036521771934813203
2019-08-01,-0.01641852434721652
2019-08-02,-0.004975009104757551
2019-08-05,-0.028451099154456663
2019-08-06,0.01096878773467352
2019-08-07,-0.002694606032064321
2019-08-08,0.01696918223373038
2019-08-09,-0.00786032981024142
2019-08-12,-0.00924076386253498
2019-08-13,0.020444547728474403
2019-08-14,-0.029305132389144485
2019-08-15,0.011236509022266961
2019-08-16,0.014421301995855063
2019-08-19,0.011703848988430701
2019-08-20,-0.009327361417249635
2019-08-21,0.006096542394048341
2019-08-22,0.00087166458865788
2019-08-23,-0.027514209178965562
2019-08-26,0.01017250007274762
2019-08-27,-0.00266951947992886
2019-08-28,0.00385825373388594
2019-08-29,0.011863630030390062
2019-08-30,0.0015625089680193801
2019-09-03,-0.0037884831567283404
2019-09-04,0.01033836015072532
2019-09-05,0.0100442286478835
2019-09-06,0.00048127568906781797
2019-09-09,0.00821123315226702
2019-09-10,0.010147583590185898
2019-09-11,0.00896737765809644
2019-09-12,0.0013437224923638401
2019-09-13,0.0032872262756184385
2019-09-16,-0.002791367668768001
2019-09-17,4.5607431561939856e-05
2019-09-18,0.0051834881916343
2019-09-19,-0.00415075844605638
2019-09-20,-0.00227384758258182
2019-09-23,0.00224538101484452
2019-09-24,-0.005265792477160941
2019-09-25,0.004077191316881021
2019-09-26,-0.007295175286594101
2019-09-27,0.0015087670668021199
2019-09-30,0.0038232820534963206
2019-10-01,-0.008240620216214422
2019-10-02,-0.01405912860648344
2019-10-03,0.0029861367883247
2019-10-04,0.019797671405717303
2019-10-07,-0.00546927499437422
2019-10-08,-0.012069121192478681
2019-10-09,0.00433352688114632
2019-10-10,0.00879944954270076
2019-10-11,0.015409855469244981
2019-10-14,-0.00188297752519654
2019-10-15,0.010103467931145901
2019-10-16,-0.00137857059569834
2019-10-17,0.0038154124175522005
2019-10-18,-0.0138547370197219
2019-10-21,0.013279903629104322
2019-10-22,0.0041444402676893395
2019-10-23,0.0058221280388603205
2019-10-24,-0.005821494702153181
2019-10-25,0.005758734072929701
2019-10-28,0.0025990588175311205
2019-10-29,-0.008900291688966798
2019-10-30,0.00414796119428678
2019-10-31,0.0001633416325890995
2019-11-01,0.01563746866555072
2019-11-04,0.007294264441823921
2019-11-05,0.00659627456298484
2019-11-06,-0.00207796227772742
2019-11-07,0.00958296017047238
2019-11-08,-0.0015912668075599807
2019-11-11,-0.00254068314295144
2019-11-12,-0.00493125985675748
2019-11-13,0.0022210956536346197
